year,team,player,pos,goals,assists,plus.minus,toi,dps,ops,dps.sr,ops.sr
1999,CHI,Ty Jones,RW,0,0,-1,63,0.006535513546224809,NA,-0.2,0
1999,CHI,Craig Mills,RW,0,0,-2,41,-0.04802983316054257,NA,-0.1,0
1999,CHI,Chris Murray,RW,0,0,0,29,0.02084617585102087,NA,-0.1,0
1999,CHI,Alain Nasreddine,D,0,0,-2,85,0.006507623747249182,NA,-0.1,0
1999,CHI,Remi Royer,D,0,0,-10,245,-0.3094865505204572,NA,-0.2,-0.4
1999,CHI,Cam Russell,D,0,0,1,42,0.15730776897188323,NA,0,0.1
1999,CHI,Ryan VandenBussche,RW,0,0,0,57,0.04097351805200653,NA,-0.2,0.1
1999,CHI,Roman Vopat,C,0,0,-4,20,-0.13362856257514014,NA,-0.1,-0.1
1999,CHI,Trent Yawney,D,0,0,-6,269,0.046124789961713306,NA,-0.3,0
1999,COL,Peter Forsberg*,C,30,67,27,1832,2.5305700051857274,NA,8,2.8
1999,COL,Joe Sakic*,C,41,55,23,1868,2.4047333059591693,NA,8.9,2.7
1999,COL,Claude Lemieux,RW,27,24,0,1741,1.9411455977991787,NA,3.3,1.6
1999,COL,Adam Deadmarsh,RW,22,27,-2,1371,1.4511083344497453,NA,3.5,1.2
1999,COL,Milan Hejduk,RW,14,34,8,1292,1.7505365477192467,NA,2.8,1.5
1999,COL,Chris Drury,C,20,24,9,1047,1.1970421337120383,NA,3.7,1.3
1999,COL,Valeri Kamensky,LW,14,30,1,1143,1.3067669409812352,NA,2.8,1.1
1999,COL,Sandis Ozolinsh,D,7,25,10,862,2.3128954822441767,NA,3.1,2.2
1999,COL,Theoren Fleury,RW,10,14,8,338,0.6868645774145847,NA,2.5,0.6
1999,COL,Rene Corbet,LW,8,14,3,617,0.8007375613290239,NA,1.4,0.7
1999,COL,Adam Foote,D,5,16,20,1589,4.384940415988606,NA,1,4.3
1999,COL,Sylvain Lefebvre,D,2,18,18,1591,4.233504546638705,NA,0.6,4.1
1999,COL,Shean Donovan,RW,7,12,4,596,0.8195202670302385,NA,1,0.7
1999,COL,Aaron Miller,D,5,13,3,1658,3.1905075896402733,NA,0.7,3.1
1999,COL,Stephane Yelle,C,8,7,-8,1098,0.5795954038731606,NA,-0.6,0.7
1999,COL,Alexei Gusarov,D,3,10,12,1077,2.8514763073307106,NA,0.5,2.8
1999,COL,Shjon Podein,LW,2,6,-3,484,0.42068461187075024,NA,-0.3,0.3
1999,COL,Eric Messier,D,4,2,0,425,0.7582332082399482,NA,0.6,0.7
1999,COL,Dale Hunter,C,2,4,0,128,0.10370604941302489,NA,0.5,0.1
1999,COL,Jeff Odgers,RW,2,3,-3,384,0.3118916732316964,NA,-0.3,0.2
1999,COL,Keith Jones,RW,2,2,-6,166,-0.04742265576240009,NA,0.2,-0.1
1999,COL,Greg de Vries,D,1,3,-3,1098,1.7264117560286616,NA,-0.6,1.6
1999,COL,Jon Klemm,D,1,2,4,535,1.2644898545617607,NA,-0.1,1.2
1999,COL,Cam Russell,D,1,2,-5,438,0.3939161599614762,NA,0,0.4
1999,COL,Christian Matte,RW,1,1,-2,54,-0.017294165436250286,NA,0.2,0
1999,COL,Warren Rychel,LW,0,2,3,133,0.26379993024029486,NA,-0.2,0.2
1999,COL,Ted Crowley,D,0,1,-1,49,0.009917815902737544,NA,0.1,0
1999,COL,Serge Aubin,C,0,0,0,4,0.0032408140441570277,NA,0,0
1999,COL,Wade Belak,D,0,0,-2,150,0.11260769493130413,NA,-0.2,0.1
1999,COL,Jeff Buchanan,D,0,0,1,25,0.12210396623786518,NA,0,0.1
1999,COL,Chris Dingman,LW,0,0,0,1,0.0011093752708444813,NA,0,0
1999,COL,Mike Gaul,D,0,0,0,11,0.019624859507386894,NA,0,0
1999,COL,Eric Lacroix,LW,0,0,-2,84,0.015685509938950577,NA,-0.2,0
1999,COL,Scott Parker,RW,0,0,-3,44,-0.06719477320812017,NA,-0.1,-0.1
1999,COL,Dan Smith,D,0,0,5,147,0.6497695502040997,NA,-0.1,0.6
1999,COL,Brian White,D,0,0,0,1,0.001784078137035172,NA,0,0
1999,DAL,Mike Modano*,C,34,47,29,1604,3.034174344140461,NA,7.6,3.1
1999,DAL,Brett Hull*,RW,32,26,19,1044,1.9265644003771525,NA,6.5,2
1999,DAL,Joe Nieuwendyk*,C,28,27,11,1042,1.6673033117490057,NA,5.8,1.7
1999,DAL,Jere Lehtinen,RW,20,32,29,1450,2.776967072806138,NA,3.6,2.9
1999,DAL,Sergei Zubov*,D,10,41,9,1963,5.5885353128184,NA,4.3,5.6
1999,DAL,Darryl Sydor,D,14,34,-1,1574,3.844281516929008,NA,4.8,3.8
1999,DAL,Jamie Langenbrunner,C,12,33,10,1189,1.8036321608791104,NA,2.7,1.8
1999,DAL,Pat Verbeek,RW,17,17,11,1136,1.721448270237468,NA,2.3,1.8
1999,DAL,Grant Marshall,RW,13,18,1,1037,1.2210653780284342,NA,1.8,1.3
1999,DAL,Derian Hatcher,D,9,21,21,1979,6.558425118706992,NA,2,6.5
1999,DAL,Mike Keane,RW,6,23,-2,1130,1.2108444094959778,NA,0.6,1.3
1999,DAL,Tony Hrkac,C,13,14,2,830,1.0660481359069565,NA,1.9,1.1
1999,DAL,Dave Reid,LW,6,11,0,844,1.464210351910999,NA,0.1,1
1999,DAL,Guy Carbonneau*,C,4,12,-3,988,1.0604741730926608,NA,-0.6,1.1
1999,DAL,Richard Matvichuk,D,3,9,23,1364,5.181093140016663,NA,0.2,5.2
1999,DAL,Shawn Chambers,D,2,9,6,1060,3.1061115314624197,NA,0.3,3.1
1999,DAL,Craig Ludwig,D,2,6,5,1161,3.2802614478142447,NA,-0.1,3.3
1999,DAL,Brian Skrudland,C,4,1,2,377,0.5265163361936773,NA,-0.1,0.5
1999,DAL,Derek Plante,C,2,3,1,137,0.20192066768793387,NA,0.4,0.2
1999,DAL,Sergey Gusev,D,1,4,5,265,1.0477849277075553,NA,0.4,1
1999,DAL,Benoit Hogue,C,1,3,2,181,0.29307652881221435,NA,0,0.3
1999,DAL,Brad Lukowich,D,1,2,3,228,0.8005915814988206,NA,0.2,0.8
1999,DAL,Brent Severyn,LW,1,2,-2,154,0.1896643310201159,NA,0,0.1
1999,DAL,Jon Sim,C,1,0,1,80,0.1340325604392431,NA,0,0.1
1999,DAL,Dan Keczmer,D,0,1,-2,157,0.23617768604650854,NA,-0.1,0.2
1999,DAL,Jason Botterill,LW,0,0,-2,141,0.16711132796935405,NA,-0.4,0.1
1999,DAL,Petr Buzek,D,0,0,0,28,0.06976489125333404,NA,0,0.1
1999,DAL,Kelly Fairchild,C,0,0,0,13,0.015483252530403157,NA,0,0
1999,DAL,Aaron Gavey,C,0,0,-1,57,0.029137100842697813,NA,-0.2,0
1999,DAL,Doug Lidster,D,0,0,0,226,0.5631023365447677,NA,-0.2,0.6
1999,DAL,Blake Sloan,RW,0,0,-1,126,0.10490532032923133,NA,-0.3,0.1
1999,DAL,Jamie Wright,LW,0,0,-3,84,0.029474077417713095,NA,-0.2,0
1999,DET,Steve Yzerman*,C,29,45,8,1727,2.0184915948380335,NA,5.8,2
1999,DET,Sergei Fedorov*,C,26,37,9,1490,1.822783655192578,NA,5,1.8
1999,DET,Igor Larionov*,C,14,49,13,1300,1.7898248126740381,NA,4.3,1.8
1999,DET,Brendan Shanahan*,LW,31,27,2,1419,2.021268974600316,NA,5.2,1.5
1999,DET,Vyacheslav Kozlov,C,29,29,10,1267,1.6409256110944657,NA,5.4,1.7
1999,DET,Nicklas Lidstrom*,D,14,43,14,2148,5.428347911120908,NA,5,5.3
1999,DET,Larry Murphy*,D,10,42,21,1940,5.550279829387376,NA,4.3,5.4
1999,DET,Darren McCarty,RW,14,26,10,1178,1.5005849154122761,NA,2.3,1.6
1999,DET,Tomas Holmstrom,LW,13,21,-11,1014,0.9627309656534344,NA,2,0.6
1999,DET,Martin Lapointe,RW,16,13,7,1163,1.3701586171023739,NA,1.4,1.4
1999,DET,Doug Brown,RW,9,19,5,1103,1.2359634879226966,NA,0.8,1.3
1999,DET,Kris Draper,C,4,14,2,1017,1.0835979965011124,NA,-0.5,1.1
1999,DET,Kirk Maltby,RW,8,6,-6,700,0.42891365252044533,NA,0.4,0.5
1999,DET,Mathieu Dandenault,RW,4,10,17,1138,1.7340465493424317,NA,-1.2,1.8
1999,DET,Stacy Roest,C,4,8,-7,476,0.19963940376770956,NA,0.3,0.2
1999,DET,Anders Eriksson,D,2,10,5,970,2.348878844227766,NA,0.4,2.3
1999,DET,Aaron Ward,D,3,8,-5,835,1.300884710620631,NA,0.6,1.2
1999,DET,Jamie Macoun,D,1,10,-1,1208,2.3651098288815673,NA,0,2.3
1999,DET,Joe Kocur,RW,2,5,0,263,0.24850482674504853,NA,0.2,0.3
1999,DET,Wendel Clark,LW,4,2,1,204,0.3181931911874019,NA,0.5,0.2
1999,DET,Uwe Krupp,D,3,2,0,470,0.9503539450297764,NA,0.3,0.9
1999,DET,Todd Gill,D,2,2,-4,431,0.5614867366410641,NA,0.2,0.5
1999,DET,Chris Chelios*,D,1,1,5,224,0.8404447102017802,NA,0.1,0.8
1999,DET,Brent Gilchrist,LW,1,0,-1,60,0.04343787147089208,NA,0,0
1999,DET,Petr Klima,LW,1,0,-3,78,-0.009407477978028286,NA,0,0
1999,DET,Yan Golubovsky,D,0,1,4,164,0.6416209171732271,NA,-0.1,0.6
1999,DET,Doug Houda,D,0,1,-2,21,-0.11254140254817321,NA,0.1,-0.1
1999,DET,Philippe Audet,LW,0,0,-2,17,-0.05421516408020177,NA,0,-0.1
1999,DET,Darryl Laplante,C,0,0,0,6,0.005935669520289833,NA,0,0
1999,DET,Ulf Samuelsson,D,0,0,-1,70,0.06404006410734252,NA,-0.1,0.1
1999,EDM,Bill Guerin,RW,30,34,7,1576,1.8460301184814665,NA,5.5,1.7
1999,EDM,Josef Beranek,LW,19,30,6,1084,1.1308924183896385,NA,4.2,1.2
1999,EDM,Mike Grier,RW,20,24,5,1308,1.5007367454312892,NA,3.1,1.4
1999,EDM,Pat Falloon,RW,17,23,-4,1205,1.0490578739544654,NA,2.7,0.9
1999,EDM,Boris Mironov,D,11,29,6,1633,3.4351171531249967,NA,3.6,3.3
1999,EDM,Rem Murray,LW,21,18,4,1235,1.1785346337815323,NA,2.9,1.3
1999,EDM,Doug Weight,C,6,31,-8,854,0.5199935049900706,NA,2.2,0.5
1999,EDM,Todd Marchant,C,14,22,3,1376,1.4535857374656458,NA,1.5,1.4
1999,EDM,Roman Hamrlik,D,8,24,9,1786,3.945900029691219,NA,2.3,3.8
1999,EDM,Ryan Smyth,LW,13,18,0,1025,0.849488966284615,NA,1.8,0.9
1999,EDM,Janne Niinimaa,D,4,24,7,1936,4.0637164336067215,NA,1.4,3.9
1999,EDM,Andrei Kovalenko,RW,13,14,-4,702,0.5464494627611427,NA,2.3,0.5
1999,EDM,Dean McAmmond,C,9,16,5,926,1.0937333002693104,NA,1.1,1
1999,EDM,Tom Poti,D,5,16,10,1427,3.3704518144720614,NA,1.3,3.3
1999,EDM,Mats Lindgren,C,5,12,4,553,0.6924640497453088,NA,0.8,0.7
1999,EDM,Alex Selivanov,RW,8,6,0,391,0.3906956039296008,NA,1.2,0.4
1999,EDM,Boyd Devereaux,C,6,8,2,619,0.6791073562678767,NA,0.4,0.6
1999,EDM,Kelly Buchberger,RW,4,4,-6,614,0.38101595852766107,NA,-0.4,0.3
1999,EDM,Sean Brown,D,0,7,1,624,1.2124349996962007,NA,0.1,1.2
1999,EDM,Kevin Brown,RW,4,2,-2,110,0.03241235146488394,NA,0.7,0
1999,EDM,Ethan Moreau,LW,1,5,2,165,0.2142490171407288,NA,0.3,0.2
1999,EDM,Georges Laraque,RW,3,2,-1,215,0.17608161468061626,NA,0.3,0.2
1999,EDM,Marty McSorley,D,2,3,-5,780,1.0311561695453393,NA,-0.1,1
1999,EDM,Todd Reirden,D,2,3,-1,294,0.4572260290853847,NA,0.4,0.4
1999,EDM,Frantisek Musil,D,0,3,0,560,1.018529603614039,NA,-0.2,1
1999,EDM,Vladimir Vorobiev,RW,2,0,1,23,0.06173310075479298,NA,0.4,0.1
1999,EDM,Chad Kilger,C,1,1,-3,148,0.027587999895869093,NA,-0.1,0
1999,EDM,Jason Smith,D,1,1,0,245,0.44560670158114213,NA,0.1,0.4
