year,team,player,goals,shots,mins,gps,gps.sr
2000,MDA,Dominic Roussel,52,445,988,1.541206404736686,1.7
2000,MTL,Jeff Hackett,132,1543,3301,10.189666790419444,11.1
2000,MTL,Jose Theodore,58,717,1655,5.069735009717097,5.5
2000,NJD,Martin Brodeur*,161,1797,4312,11.137669381238101,12.1
2000,NJD,Chris Terreri,37,299,649,0.8288405295803857,0.9
2000,NSH,Mike Dunham,146,1584,3077,9.407887723874415,10.2
2000,NSH,Tomas Vokoun,87,908,1879,5.061063059057166,5.5
2000,NYI,Kevin Weekes,115,1173,2026,6.276416689309688,6.8
2000,NYI,Roberto Luongo,70,730,1292,4.06339251292979,4.4
2000,NYI,Felix Potvin,68,632,1273,2.775857369933521,3
2000,NYI,Steve Valiquette,6,117,193,1.1748055267394328,1.3
2000,NYI,Wade Flaherty,7,81,182,0.527821732750578,0.6
2000,NYR,Mike Richter,173,1815,3622,10.207253435361794,11.1
2000,NYR,Kirk McLean,58,558,1206,2.655270690747319,2.9
2000,NYR,Milan Hnilicka,5,44,86,0.16659051086850046,0.2
2000,NYR,Jean-Francois Labbe,3,22,60,0.033138941719420736,0
2000,OTT,Patrick Lalime,79,834,2038,4.739851125011649,5.2
2000,OTT,Ron Tugnutt,103,1020,2435,5.156815760589013,5.6
2000,OTT,Tom Barrasso,22,182,418,0.5568486497078832,0.6
2000,OTT,Jani Hurme,2,19,60,0.08789563860247991,0.1
2000,OTT,Mike Fountain,1,6,16,-0.009200766336459559,0
2000,PHI,John Vanbiesbrouck,108,1143,2950,6.523045775851306,7.1
2000,PHI,Brian Boucher,65,790,2038,5.476074261010079,6
2000,PHX,Sean Burke,88,1022,2074,6.691875792398296,7.3
2000,PHX,Bob Essensa,73,719,1573,3.5954162186366148,3.9
2000,PHX,Mikhail Shtalenkov,36,370,904,2.0073101799462365,2.2
2000,PHX,Robert Esche,23,215,408,0.957651258290821,1
2000,PIT,Jean-Sebastien Aubin,120,1392,2789,9.100436482063168,9.9
2000,PIT,Tom Barrasso,46,386,870,1.2471488685648457,1.4
2000,PIT,Peter Skudra,48,374,922,0.8642998915191307,0.9
2000,PIT,Ron Tugnutt,15,197,374,1.486816694448493,1.6
2000,SJS,Steve Shields,162,1826,3797,11.477730749092247,12.5
2000,SJS,Mike Vernon,32,360,772,2.256707587842872,2.5
2000,SJS,Evgeni Nabokov,15,166,414,1.016072078800297,1.1
2000,STL,Roman Turek,129,1470,3960,9.382077029407824,10.2
2000,STL,Jamie McLennan,33,341,1009,1.8678740669514158,2
2000,TBL,Dan Cloutier,145,1258,2492,4.557789231906913,5
2000,TBL,Zac Bierk,31,308,509,1.5673840857981376,1.7
2000,TBL,Kevin Hodson,47,327,769,0.2509029403853942,0.3
2000,TBL,Rich Parent,43,353,698,1.0469715148412262,1.1
2000,TBL,Daren Puppa,19,129,249,0.052965092340266175,0.1
2000,TBL,Dieter Kochan,17,111,238,-0.01974523608001391,0
2000,TOR,Curtis Joseph,158,1854,3801,12.304169943912475,13.4
2000,TOR,Glenn Healy,59,527,1164,2.084213447669463,2.3
2000,VAN,Felix Potvin,85,906,1966,5.231317693552089,5.7
2000,VAN,Garth Snow,76,775,1712,4.1448557065508345,4.5
2000,VAN,Kevin Weekes,47,461,987,2.285734504800177,2.5
2000,VAN,Corey Schwab,16,115,269,0.1413086320784446,0.2
2000,VAN,Alfie Michaud,5,27,69,-0.09155976222889751,-0.1
2000,WSH,Olaf Kolzig,163,1957,4371,13.366693755530768,14.6
2000,WSH,Craig Billington,28,310,611,1.8986925884515133,2.1
2001,ATL,Milan Hnilicka,105,951,1879,3.7924963208202067,4.4
2001,ATL,Damian Rhodes,116,1129,2072,5.309426407330385,6.2
2001,ATL,Scott Fankhouser,16,160,260,0.793420009002857,0.9
2001,ATL,Norm Maracle,43,406,753,1.7894502164349246,2.1
2001,BOS,Byron Dafoe,101,1076,2536,5.951345465671228,6.9
2001,BOS,Peter Skudra,62,511,1116,1.5173191892249236,1.8
2001,BOS,Andrew Raycroft,32,291,649,1.1725435315454087,1.4
2001,BOS,John Grahame,28,211,471,0.40274509969427214,0.5
2001,BOS,Kay Whitmore,18,94,203,-0.3360058635126919,-0.4
2001,BUF,Dominik Hasek*,137,1726,3904,11.879505350530712,13.9
2001,BUF,Martin Biron,39,427,918,2.4625464443248544,2.9
2001,BUF,Mika Noronen,5,39,108,0.09079680967327687,0.1
2001,BUF,Peter Skudra,0,0,1,0,0
2001,CAR,Arturs Irbe,180,1947,4406,11.026029705063687,12.9
2001,CAR,Tyler Moss,37,251,557,0.13473956775785256,0.2
2001,CBJ,Ron Tugnutt,127,1528,3129,9.983581442382897,11.6
2001,CBJ,Marc Denis,99,940,1830,4.194982018704653,4.9
2001,CGY,Fred Brathwaite,106,1181,2742,6.985023934185201,8.1
2001,CGY,Mike Vernon,121,1034,2246,3.485887727842252,4.1
2001,CHI,Jocelyn Thibault,180,1711,3844,7.6545134704212,8.9
2001,CHI,Robbie Tallas,35,265,627,0.5212889817928542,0.6
2001,CHI,Michel Larocque,9,59,152,0.0034300971237803935,0
2001,CHI,Steve Passmore,14,147,340,0.7942451080575739,0.9
2001,COL,Patrick Roy*,132,1513,3585,9.302929622095604,10.8
2001,COL,David Aebischer,52,538,1393,2.835764572579475,3.3
2001,DAL,Ed Belfour*,144,1508,3687,8.112233911346427,9.5
2001,DAL,Marty Turco,40,532,1266,3.8693133401885333,4.5
2001,DET,Chris Osgood,127,1310,2834,6.869214751060599,8
2001,DET,Manny Legace,73,909,2136,6.177188138537419,7.2
2001,EDM,Tommy Salo,179,1856,4364,9.819268009560153,11.5
2001,EDM,Joaquin Gage,15,125,260,0.3866791149399149,0.5
2001,EDM,Dominic Roussel,21,151,348,0.1984847031556283,0.2
2001,FLA,Roberto Luongo,107,1333,2628,9.063236859829379,10.6
2001,FLA,Trevor Kidd,130,1217,2354,5.260792456727338,6.1
2001,LAK,Jamie Storr,114,1131,2498,5.524542792485259,6.4
2001,LAK,Felix Potvin,46,571,1410,3.866838043024384,4.5
2001,LAK,Stephane Fiset,19,129,318,0.07073503055025006,0.1
2001,LAK,Steve Passmore,37,310,718,0.9776186264184746,1.1
2001,LAK,Travis Scott,3,10,25,-0.13695546311217507,-0.2
2001,MDA,Guy Hebert,115,1112,2215,5.1598350565876325,6
2001,MDA,Jean-Sebastien Giguere,87,976,2031,5.8285463873941525,6.8
2001,MDA,Dominic Roussel,31,295,653,1.322959981342877,1.5
2001,MDA,Gregg Naumenko,7,29,70,-0.23860826140168195,-0.3
2001,MIN,Manny Fernandez,92,1147,2461,7.805106514748819,9.1
2001,MIN,Jamie McLennan,98,1032,2230,5.602574013623045,6.5
2001,MIN,Derek Gustafson,10,97,239,0.4530292484067539,0.5
2001,MIN,Zac Bierk,6,27,60,-0.17390832604427633,-0.2
2001,MTL,Jose Theodore,141,1546,3298,8.934921489979105,10.4
2001,MTL,Mathieu Garon,24,233,589,1.0901274133242114,1.3
2001,MTL,Jeff Hackett,54,477,998,1.7777691287639787,2.1
2001,MTL,Eric Fichaud,4,32,62,0.08406631633062994,0.1
2001,NJD,Martin Brodeur*,166,1762,4297,9.688913338885714,11.3
2001,NJD,John Vanbiesbrouck,6,93,240,0.7689733327964191,0.9
2001,NJD,Chris Terreri,21,167,453,0.42706207499579674,0.5
2001,NSH,Mike Dunham,107,1381,2810,9.748968975349882,11.4
2001,NSH,Tomas Vokoun,85,940,2088,5.500791514428626,6.4
2001,NSH,Chris Mason,2,20,59,0.09917750112535713,0.1
2001,NYI,John Vanbiesbrouck,120,1177,2390,5.622070095501187,6.6
2001,NYI,Wade Flaherty,56,470,1017,1.4912223149090513,1.7
2001,NYI,Rick DiPietro,63,515,1083,1.481191425347537,1.7
2001,NYI,Chris Terreri,18,205,443,1.2497496536284778,1.5
2001,NYR,Mike Richter,144,1343,2635,5.75502976424469,6.7
2001,NYR,Kirk McLean,71,639,1220,2.5064892024094303,2.9
2001,NYR,Guy Hebert,42,409,735,1.9255805804923838,2.2
2001,NYR,Jason LaBarbera,0,2,10,0.028572171480021072,0
2001,NYR,Johan Holmqvist,10,71,119,0.08159101916647984,0.1
2001,NYR,Vitali Yeremeyev,16,104,212,-0.006600792437732882,0
2001,OTT,Patrick Lalime,141,1640,3607,10.277813549540099,12
2001,OTT,Jani Hurme,54,563,1296,3.0063725024048837,3.5
2001,OTT,Mike Fountain,3,25,59,0.07733582298798299,0.1
2001,PHI,Roman Cechmanek,115,1464,3431,10.188537237071346,11.9
2001,PHI,Brian Boucher,80,644,1470,1.7384706695726408,2
2001,PHI,Maxime Ouellet,3,27,76,0.10590799446800406,0.1
2001,PHX,Sean Burke,138,1767,3644,12.371962759033714,14.4
2001,PHX,Robert Esche,68,657,1350,3.043455066241901,3.5
2001,PIT,Jean-Sebastien Aubin,107,973,2050,3.920245993425583,4.6
2001,PIT,Garth Snow,101,1014,2032,5.065608149790573,5.9
2001,PIT,Johan Hedberg,24,253,545,1.3758491281244223,1.6
2001,PIT,Rich Parent,17,150,332,0.5572870447653245,0.6
2001,SJS,Evgeni Nabokov,135,1582,3700,10.00885321764405,11.7
2001,SJS,Steve Shields,47,531,1135,3.202122506586535,3.7
2001,SJS,Miikka Kiprusoff,5,51,154,0.26222983855340326,0.3
2001,STL,Roman Turek,123,1248,3232,6.356565862529651,7.4
2001,STL,Brent Johnson,63,676,1744,3.781251229489235,4.4
2001,TBL,Kevin Weekes,177,1742,3378,8.377198448873811,9.8
2001,TBL,Dan Cloutier,59,541,1005,2.22571808193752,2.6
2001,TBL,Nikolai Khabibulin,6,69,123,0.4261072750361662,0.5
2001,TBL,Evgeny Konstantinov,0,0,1,0,0
2001,TBL,Wade Flaherty,8,55,118,0.039557861001165,0
2001,TBL,Dieter Kochan,18,138,314,0.29258190904777126,0.3
2001,TOR,Curtis Joseph,163,1907,4100,12.04021209169952,14
2001,TOR,Glenn Healy,38,331,871,1.1843543201212692,1.4
2001,VAN,Bob Essensa,92,854,2059,3.619283392925733,4.2
2001,VAN,Felix Potvin,103,914,2006,3.4504553621146696,4
2001,VAN,Dan Cloutier,37,348,914,1.5204898845388748,1.8
2001,WSH,Olaf Kolzig,177,1941,4279,11.220129511135907,13.1
2001,WSH,Craig Billington,27,317,660,2.0103422949728165,2.3
2001,WSH,Corey Hirsch,0,8,20,0.11428868592008429,0.1
2002,ATL,Milan Hnilicka,179,1956,3367,10.476855698973836,12.2
2002,ATL,Frederic Cassivi,17,207,307,1.299564353486055,1.5
2002,ATL,Pasi Nurminen,28,275,465,1.194704032406332,1.4
2002,ATL,Damian Rhodes,47,439,769,1.6811553092560896,2
2002,ATL,Norm Maracle,3,20,60,-0.007736592834634494,0
2002,BOS,Byron Dafoe,141,1520,3827,7.954973661381544,9.3
2002,BOS,John Grahame,52,503,1079,2.1080946684765616,2.5
2002,BOS,Andrew Raycroft,3,29,65,0.12134503082309715,0.1
2002,BUF,Martin Biron,151,1781,4085,10.716391929431188,12.5
2002,BUF,Mika Noronen,23,217,518,0.8538190889576814,1
2002,BUF,Bob Essensa,17,113,350,-0.048621493605807926,-0.1
