X1,year,team,games,wins,points,goals,goals.against,team.dps,team.ops,team.gps,dps.avg,ops.avg,gps.avg,team.ps,dps.prop,dps.prop.adj,ops.prop,ops.prop.adj,dps.full.prop,dps.full.prop.adj
57,2001,BOS,82,36,88,227,249,32.231229749611224,68.04405939515229,8.70794742262314,0.3930637774342832,0.829805602379906,0.10619448076369684,108.98323656738665,0.2957448389751388,-0.04513880904730749,0.6243534468081171,0.07538094837772868,0.3756465531918829,-0.07538094837772874
58,2001,BUF,82,46,98,218,184,48.851242441629466,64.57977451925454,14.432848604528843,0.5957468590442618,0.7875582258445676,0.1760103488357176,127.86386556541285,0.3820566680477687,0.041173020025322415,0.505066652206105,-0.043905846224283396,0.494933347793895,0.04390584622428334
59,2001,CAR,82,38,88,212,225,39.09988981509503,59.417485852460196,11.16076927282154,0.47682792457432965,0.7246034860056122,0.13610694235148219,109.67814494037677,0.35649663692206424,0.01561298889961793,0.5417440811454345,-0.007228417284953936,0.4582559188545655,0.007228417284953881
60,2001,CBJ,82,28,71,190,233,35.30734529392563,38.726593715639396,14.17856346108755,0.4305773816332394,0.4722755331175536,0.1729093105010677,88.21250247065257,0.4002533008931703,0.05936965287072399,0.439014795306633,-0.10995770312375541,0.5609852046933671,0.10995770312375547
61,2001,CGY,82,27,73,197,236,36.33769251346713,49.71650064725948,10.470911662027454,0.44314259162764796,0.6062987883812132,0.12769404465887138,96.52510482275406,0.37645846207774514,0.03557481405529883,0.5150629024288789,-0.03390959600150956,0.4849370975711212,0.03390959600150956
62,2001,CHI,82,29,71,210,246,33.17587988935515,54.00546981057997,8.973477657395408,0.404583901089697,0.6586032903729264,0.10943265435848058,96.15482735733052,0.34502563002964964,0.0041419820072033375,0.5616511546517042,0.01267865622131581,0.4383488453482958,-0.01267865622131581
63,2001,COL,82,52,118,270,192,49.33887045446247,99.91753252297373,12.138694194675079,0.6016935421275912,1.2185064941826065,0.14803285603262292,161.3950971721113,0.30570241177678176,-0.03518123624566455,0.619086541497738,0.07011404306734959,0.38091345850226194,-0.0701140430673497
64,2001,DAL,82,48,106,241,187,49.571813105562846,79.29932824607259,11.98154725153496,0.6045343061654006,0.9670649786106413,0.14611642989676782,140.85268860317038,0.351940836892531,0.011057188870084667,0.562994778676079,0.014022280245690633,0.4370052213239211,-0.014022280245690522
65,2001,DET,82,49,111,253,202,43.522148616666094,86.91153999230085,13.046402889598017,0.5307579099593426,1.0598968291744006,0.15910247426339044,143.48009149856497,0.3033323171326622,-0.03755133088978413,0.6057393683302056,0.05676686989981716,0.39426063166979436,-0.056766869899817274
66,2001,EDM,82,39,93,243,222,40.005161019662445,79.7270283356724,10.404431827655696,0.48786781731295664,0.9722808333618586,0.12688331497141092,130.13662118299052,0.3074089418950683,-0.03347470612737802,0.6126409892228944,0.06366849079250603,0.3873590107771056,-0.06366849079250603
67,2001,FLA,82,22,66,200,246,31.370276454646653,48.83675146242071,14.324029316556718,0.382564347007886,0.5955701397856183,0.17468328434825267,94.53105723362408,0.33185153506871445,-0.009032112953731852,0.5166212342439538,-0.032351264186434636,0.4833787657560462,0.03235126418643458
68,2001,LAK,82,38,92,252,228,38.88566189155496,87.36565041710041,10.302779029366192,0.47421538892140197,1.0654347611841513,0.12564364669958772,136.55409133802158,0.2847637995356628,-0.05611984848678353,0.6397878639962409,0.09081536556585246,0.36021213600375895,-0.09081536556585268
69,2001,MDA,82,25,66,188,245,31.376116105598452,31.315340714103076,12.07273316392298,0.38263556226339573,0.38189439895247657,0.14722845321857292,74.7641899836245,0.41966770605647863,0.07878405803403232,0.41885481165464417,-0.13011768677574426,0.5811451883453559,0.13011768677574426
70,2001,MIN,82,25,68,168,210,41.72365885069703,15.164907049284427,13.686801450734341,0.5088251079353296,0.18493789084493203,0.16691221281383342,70.5753673507158,0.5911929390796696,0.2503092910572233,0.2148753540867063,-0.3340971443436821,0.7851246459132938,0.33409714434368215
71,2001,MTL,82,28,70,206,232,36.747556429259056,42.09196163872945,11.886884348397926,0.44814093206413486,0.5133166053503592,0.1449620042487552,90.72640241638643,0.4050370724566716,0.06415342443422528,0.4639439073705304,-0.08502859105985805,0.5360560926294696,0.085028591059858
72,2001,NJD,82,48,111,295,195,46.85819386049903,108.66799204661076,10.88494874667793,0.5714413885426711,1.3252194152025703,0.13274327739851133,166.4111346537877,0.2815808807384541,-0.0593027672839922,0.6530091407206048,0.10403664229021636,0.3469908592793953,-0.10403664229021631
73,2001,NSH,82,34,80,186,200,44.105510811587024,31.24353446844497,15.348937990903865,0.5378720830681344,0.3810187130298167,0.18718217062077885,90.69798327093585,0.4862898735006451,0.14540622547819881,0.34447882236932775,-0.20449367606106067,0.6555211776306723,0.20449367606106067
74,2001,NYI,82,21,52,185,268,27.145063960970788,34.08564503863289,9.844233489386253,0.3310373653776925,0.41567859803210844,0.12005162791934455,71.07494248898993,0.3819217154509238,0.04103806742847749,0.4795733045287096,-0.06939919390167881,0.5204266954712904,0.06939919390167876
