X1,year,team,games,wins,points,goals,goals.against,team.dps,team.ops,team.gps,dps.avg,ops.avg,gps.avg,team.ps,dps.prop,dps.prop.adj,ops.prop,ops.prop.adj,dps.full.prop,dps.full.prop.adj
214,2007,COL,82,44,95,267,247,37.86323699725141,88.46510142237902,10.489061684433628,0.4617467926494075,1.0788427002729148,0.12791538639553204,136.81740010406406,0.27674284826675866,-0.0599774749736543,0.646592475482592,0.08393856014465062,0.35340752451740803,-0.08393856014465056
215,2007,DAL,82,50,107,217,195,55.717080967998726,49.77008911450475,11.283120142108302,0.6794765971707162,0.6069523062744482,0.137599026123272,116.77029022461177,0.4771511731350925,0.14043084989467952,0.42622219246668164,-0.13643172287125976,0.5737778075333184,0.13643172287125982
216,2007,DET,82,50,113,252,191,55.438234734432484,69.7931334820294,10.313806802307973,0.6760760333467376,0.8511357741710903,0.12577813173546307,135.54517501876987,0.4090019045440428,0.07228158130362983,0.514906808540877,-0.0477471067970644,0.4850931914591229,0.04774710679706429
217,2007,EDM,82,32,71,192,245,38.741947743997926,30.706647982428372,11.788856667148696,0.47246277736582837,0.3744713168588826,0.14376654472132555,81.237452393575,0.4768976205248651,0.14017729728445216,0.37798634838599315,-0.18466756695194825,0.6220136516140068,0.1846675669519482
218,2007,FLA,82,35,86,245,249,36.993502365454155,67.09003798901169,10.480209048856063,0.4511402727494409,0.8181711949879474,0.12780742742507392,114.5637494033219,0.3229075738017133,-0.013812749438699645,0.5856131484735287,0.022959233135587342,0.41438685152647126,-0.022959233135587342
219,2007,LAK,82,27,68,223,277,29.179701900163238,61.01291043542514,8.564386362199198,0.3558500231727224,0.7440598833588432,0.10444373612438046,98.75699869778758,0.2954697113614991,-0.04125061187891388,0.6178084717026946,0.05515455636475319,0.38219152829730546,-0.05515455636475314
220,2007,MIN,82,48,104,225,184,53.58402416344658,58.50421418983065,15.281106634333778,0.6534637093103242,0.7134660267052518,0.18635495895528997,127.36934498761102,0.4206979644015489,0.08397764116113593,0.45932727529941564,-0.10332664003852576,0.5406727247005843,0.10332664003852565
221,2007,MTL,82,42,90,239,251,35.19951340293504,65.3902668819059,14.094109063610594,0.42926235857237854,0.797442279047633,0.17187937882451942,114.68388934845153,0.3069264009348869,-0.029793922305526077,0.5701783158332414,0.00752440049530001,0.4298216841667587,-0.007524400495299899
222,2007,NJD,82,49,107,206,193,52.46623208466686,47.25342895293671,14.46818148041325,0.6398320985934983,0.5762613286943501,0.17644123756601524,114.18784251801682,0.4594730133060235,0.12275269006561057,0.41382189128830377,-0.14883202404963763,0.5861781087116963,0.1488320240496377
223,2007,NSH,82,51,110,266,207,47.49008242012017,91.92373960712231,16.438403660898917,0.5791473465868313,1.121021214721004,0.20046833732803557,155.8522256881414,0.3047122504053763,-0.03200807283503665,0.5898134543876243,0.027159539049682935,0.4101865456123757,-0.02715953904968288
224,2007,NYI,82,40,92,240,235,38.540321726299275,72.99714584556337,15.197189979256002,0.4700039234914546,0.890209095677602,0.1853315851128781,126.73465755111863,0.3041024647165198,-0.03261785852389315,0.5759840856169895,0.013330170279048148,0.42401591438301056,-0.013330170279048037
225,2007,NYR,82,42,94,233,211,46.215379833767386,67.80098233997049,12.516520357991665,0.5636021930947243,0.8268412480484206,0.15264049217063005,126.53288253172954,0.3652440291335208,0.02852370589310782,0.5358368590312375,-0.026817056306703946,0.46416314096876254,0.026817056306703946
226,2007,OTT,82,48,105,286,216,45.09722722235079,108.69110436526537,14.231936191426335,0.5499661856384243,1.3255012727471387,0.17356019745641874,168.0202677790425,0.2684034957119373,-0.06831682752847568,0.6468928171701356,0.08423890183219418,0.3531071828298643,-0.08423890183219429
227,2007,PHI,82,22,56,213,297,22.78632069652712,53.90418890603563,9.976367480542631,0.27788195971374535,0.6573681573906784,0.12166301805539795,86.66687708310538,0.2629184466249682,-0.07380187661544474,0.6219699003847409,0.05931598504679947,0.3780300996152592,-0.05931598504679941
228,2007,PHX,82,31,67,211,282,26.684800404475638,54.8606337700893,8.292058126902136,0.32542439517653216,0.6690321191474305,0.1011226600841724,89.83749230146708,0.297034119284292,-0.039686203956120936,0.6106652396974065,0.04801132435946509,0.38933476030259345,-0.048011324359465146
229,2007,PIT,82,47,105,267,240,37.745384553829105,95.40550961874725,12.771693470860786,0.4603095677296232,1.163481824618869,0.15575235940074128,145.92258764343714,0.25866718212303236,-0.0780531411173806,0.6538090583472332,0.09115514300929184,0.34619094165276676,-0.09115514300929184
230,2007,SJS,82,51,107,256,197,53.226834127896055,89.40220356839535,11.734396045683553,0.6491077332670251,1.0902707752243335,0.14310239080101894,154.36343374197494,0.34481504354759934,0.008094720307186387,0.5791669788703647,0.016513063532423322,0.42083302112963533,-0.016513063532423267
231,2007,STL,82,34,81,208,248,37.968979062055396,53.19328811200792,10.355049598043133,0.46303633002506583,0.6486986355122917,0.1262810926590626,101.51731677210645,0.37401480131011494,0.037294478069701986,0.5239824081582074,-0.038671507179734,0.4760175918417925,0.03867150717973389
232,2007,TBL,82,44,93,243,259,35.30512297693658,76.21946145914578,7.487435459832,0.4305502802065437,0.9295056275505582,0.09131018853453658,119.01201989591436,0.2966517416292385,-0.040068581611174436,0.6404349873719131,0.07778107203397167,0.35956501262808693,-0.07778107203397167
233,2007,TOR,82,40,91,254,262,34.4890754108135,86.299738939801,8.505988444036097,0.4205984806196768,1.0524358407292804,0.10373156639068411,129.2948027946506,0.26674757736078497,-0.06997274587962798,0.6674648715529928,0.10481095621505143,0.33253512844700717,-0.10481095621505143
234,2007,VAN,82,49,105,217,197,50.892677462412735,61.60096650424671,14.919457383988501,0.620642408078204,0.751231298832277,0.18194460224376222,127.41310135064795,0.3994304896664689,0.06271016642605592,0.483474351155753,-0.07917956418218841,0.516525648844247,0.07917956418218841
235,2007,WSH,82,28,70,234,275,29.30788822281716,66.28343435828388,12.9107431514036,0.35741327100996534,0.8083345653449254,0.15744808721223905,108.50206573250463,0.2701136427676069,-0.06660668047280605,0.6108955982616555,0.04824168292371411,0.38910440173834465,-0.04824168292371395
236,2008,ANA,82,47,102,197,184,0,0,14.366028252134052,0,0,0.17519546648943965,14.366028252134052,0,0,0,0,1,0
237,2008,ATL,82,34,76,207,266,0,0,13.168026317101283,0,0,0.16058568679391808,13.168026317101283,0,0,0,0,1,0
238,2008,BOS,82,41,94,206,215,0,0,14.127711252648512,0,0,0.17228916161766478,14.127711252648512,0,0,0,0,1,0
239,2008,BUF,82,39,90,251,233,0,0,10.248974839156608,0,0,0.12498749803849522,10.248974839156608,0,0,0,0,1,0
240,2008,CAR,82,43,92,250,246,0,0,9.429185862706811,0,0,0.11499007149642453,9.429185862706811,0,0,0,0,1,0
241,2008,CBJ,82,34,80,190,210,0,0,11.457290909502278,0,0,0.139723059871979,11.457290909502278,0,0,0,0,1,0
242,2008,CGY,82,42,94,226,224,0,0,10.979397040582562,0,0,0.13389508586076296,10.979397040582562,0,0,0,0,1,0
243,2008,CHI,82,40,88,234,231,0,0,10.87190493656424,0,0,0.13258420654346634,10.87190493656424,0,0,0,0,1,0
244,2008,COL,82,44,95,224,216,0,0,10.888753597344108,0,0,0.13278967801639155,10.888753597344108,0,0,0,0,1,0
245,2008,DAL,82,45,97,237,204,0,0,10.50153676819481,0,0,0.12806752156335136,10.50153676819481,0,0,0,0,1,0
246,2008,DET,82,54,115,252,179,0,0,9.645513932022018,0,0,0.11762821868319534,9.645513932022018,0,0,0,0,1,0
247,2008,EDM,82,41,88,220,247,0,0,12.44604524433123,0,0,0.151781039565015,12.44604524433123,0,0,0,0,1,0
248,2008,FLA,82,38,85,211,220,0,0,17.041605662936743,0,0,0.20782445930410662,17.041605662936743,0,0,0,0,1,0
249,2008,LAK,82,32,71,226,263,0,0,11.64050119743412,0,0,0.14195733167602584,11.64050119743412,0,0,0,0,1,0
250,2008,MIN,82,44,98,220,210,0,0,13.882296985785619,0,0,0.16929630470470267,13.882296985785619,0,0,0,0,1,0
251,2008,MTL,82,47,104,257,216,0,0,15.27060647612759,0,0,0.1862269082454584,15.27060647612759,0,0,0,0,1,0
252,2008,NJD,82,46,99,198,193,0,0,13.092324931453744,0,0,0.15966249916407005,13.092324931453744,0,0,0,0,1,0
253,2008,NSH,82,41,91,227,224,0,0,12.569092542648812,0,0,0.153281616373766,12.569092542648812,0,0,0,0,1,0
254,2008,NYI,82,35,79,189,240,0,0,11.871040599770028,0,0,0.1447687878020735,11.871040599770028,0,0,0,0,1,0
255,2008,NYR,82,42,97,205,190,0,0,11.324559410846117,0,0,0.138104383059099,11.324559410846117,0,0,0,0,1,0
256,2008,OTT,82,43,94,258,242,0,0,11.165874591247887,0,0,0.1361692023322913,11.165874591247887,0,0,0,0,1,0
257,2008,PHI,82,42,95,245,227,0,0,14.421680907332163,0,0,0.1758741574064898,14.421680907332163,0,0,0,0,1,0
258,2008,PHX,82,38,83,209,225,0,0,13.61615365870103,0,0,0.1660506543744028,13.61615365870103,0,0,0,0,1,0
259,2008,PIT,82,47,102,240,212,0,0,14.67034563866256,0,0,0.17890665413003123,14.67034563866256,0,0,0,0,1,0
260,2008,SJS,82,49,108,216,187,0,0,9.744581705650402,0,0,0.1188363622640293,9.744581705650402,0,0,0,0,1,0
261,2008,STL,82,33,79,202,232,0,0,9.377396808684548,0,0,0.11435849766688473,9.377396808684548,0,0,0,0,1,0
262,2008,TBL,82,31,71,221,266,0,0,7.424413607360249,0,0,0.09054162935805181,7.424413607360249,0,0,0,0,1,0
263,2008,TOR,82,36,83,228,256,0,0,9.121601213444826,0,0,0.11123903918835154,9.121601213444826,0,0,0,0,1,0
264,2008,VAN,82,39,88,207,206,0,0,12.954385970343191,0,0,0.15798031671150234,12.954385970343191,0,0,0,0,1,0
265,2008,WSH,82,43,94,238,227,0,0,9.824197087271733,0,0,0.1198072815520943,9.824197087271733,0,0,0,0,1,0
266,2009,ANA,82,42,91,238,235,0,0,12.18190534391644,0,0,0.14855982126727366,12.18190534391644,0,0,0,0,1,0
267,2009,ATL,82,35,76,250,279,0,0,10.603166031024848,0,0,0.1293069028173762,10.603166031024848,0,0,0,0,1,0
268,2009,BOS,82,53,116,270,190,0,0,16.2631735389149,0,0,0.1983313846209134,16.2631735389149,0,0,0,0,1,0
269,2009,BUF,82,41,91,242,229,0,0,13.62759240894634,0,0,0.1661901513286139,13.62759240894634,0,0,0,0,1,0
270,2009,CAR,82,45,97,236,221,0,0,12.540732858413863,0,0,0.15293576656602273,12.540732858413863,0,0,0,0,1,0
271,2009,CBJ,82,41,92,220,223,0,0,10.400411574757229,0,0,0.12683428749703937,10.400411574757229,0,0,0,0,1,0
272,2009,CGY,82,46,98,251,246,0,0,10.185250070343463,0,0,0.12421036671150563,10.185250070343463,0,0,0,0,1,0
273,2009,CHI,82,46,104,260,209,0,0,12.257017677381128,0,0,0.1494758253339162,12.257017677381128,0,0,0,0,1,0
274,2009,COL,82,32,69,190,253,0,0,8.934509517418537,0,0,0.10895743313925045,8.934509517418537,0,0,0,0,1,0
275,2009,DAL,82,36,83,224,251,0,0,8.173180419505103,0,0,0.09967293194518419,8.173180419505103,0,0,0,0,1,0
276,2009,DET,82,51,112,289,240,0,0,8.465076299534061,0,0,0.10323263779919586,8.465076299534061,0,0,0,0,1,0
277,2009,EDM,82,38,85,228,244,0,0,13.258251887756893,0,0,0.16168599863118163,13.258251887756893,0,0,0,0,1,0
278,2009,FLA,82,41,93,231,223,0,0,17.906950444820826,0,0,0.21837744444903445,17.906950444820826,0,0,0,0,1,0
279,2009,LAK,82,34,79,202,226,0,0,10.545598871461435,0,0,0.12860486428611506,10.545598871461435,0,0,0,0,1,0
280,2009,MIN,82,40,89,214,197,0,0,15.616777249068395,0,0,0.19044850303741945,15.616777249068395,0,0,0,0,1,0
281,2009,MTL,82,41,93,242,240,0,0,12.665705162809273,0,0,0.15445981905864967,12.665705162809273,0,0,0,0,1,0
282,2009,NJD,82,51,106,238,207,0,0,13.52084029987564,0,0,0.16488829633994684,13.52084029987564,0,0,0,0,1,0
283,2009,NSH,82,40,88,207,228,0,0,11.958462384976496,0,0,0.14583490713385971,11.958462384976496,0,0,0,0,1,0
284,2009,NYI,82,26,61,198,274,0,0,11.86698865351936,0,0,0.14471937382340683,11.86698865351936,0,0,0,0,1,0
285,2009,NYR,82,43,95,200,212,0,0,13.073244116450459,0,0,0.15942980629817632,13.073244116450459,0,0,0,0,1,0
286,2009,OTT,82,36,83,213,231,0,0,10.71951937018237,0,0,0.1307258459778338,10.71951937018237,0,0,0,0,1,0
287,2009,PHI,82,44,99,260,232,0,0,14.187315582379123,0,0,0.17301604368755027,14.187315582379123,0,0,0,0,1,0
288,2009,PHX,82,36,79,205,249,0,0,11.953898525114852,0,0,0.14577925030627867,11.953898525114852,0,0,0,0,1,0
289,2009,PIT,82,45,99,258,233,0,0,12.075964255920983,0,0,0.14726785677952417,12.075964255920983,0,0,0,0,1,0
290,2009,SJS,82,53,117,251,199,0,0,11.333565618877564,0,0,0.13821421486436053,11.333565618877564,0,0,0,0,1,0
291,2009,STL,82,41,92,227,227,0,0,10.837257996308626,0,0,0.13216168288181251,10.837257996308626,0,0,0,0,1,0
292,2009,TBL,82,24,66,207,269,0,0,11.821066971925799,0,0,0.14415935331616828,11.821066971925799,0,0,0,0,1,0
293,2009,TOR,82,34,81,244,286,0,0,7.641165969272926,0,0,0.09318495084479178,7.641165969272926,0,0,0,0,1,0
294,2009,VAN,82,45,100,243,213,0,0,13.745021598620793,0,0,0.16762221461732674,13.745021598620793,0,0,0,0,1,0
295,2009,WSH,82,50,108,268,240,0,0,11.349099507910662,0,0,0.13840365253549589,11.349099507910662,0,0,0,0,1,0
296,2010,ANA,82,39,89,233,243,0,0,15.107275291847634,0,0,0.18423506453472724,15.107275291847634,0,0,0,0,1,0
297,2010,ATL,82,35,83,230,250,0,0,14.01315124558063,0,0,0.17089208836073938,14.01315124558063,0,0,0,0,1,0
298,2010,BOS,82,39,91,196,191,0,0,15.696323794312654,0,0,0.1914185828574714,15.696323794312654,0,0,0,0,1,0
299,2010,BUF,82,45,100,231,201,0,0,16.86651147507333,0,0,0.20568916433016257,16.86651147507333,0,0,0,0,1,0
300,2010,CAR,82,35,80,226,251,0,0,12.501686870740947,0,0,0.1524595959846457,12.501686870740947,0,0,0,0,1,0
301,2010,CBJ,82,32,79,214,249,0,0,10.806974981081481,0,0,0.13179237781806685,10.806974981081481,0,0,0,0,1,0
302,2010,CGY,82,40,90,201,203,0,0,13.6176756238143,0,0,0.16606921492456464,13.6176756238143,0,0,0,0,1,0
303,2010,CHI,82,52,112,262,203,0,0,9.06564288838368,0,0,0.11055662059004488,9.06564288838368,0,0,0,0,1,0
304,2010,COL,82,43,95,237,228,0,0,15.176763908641073,0,0,0.18508248669074479,15.176763908641073,0,0,0,0,1,0
305,2010,DAL,82,37,88,230,244,0,0,12.489143822864758,0,0,0.15230663198615557,12.489143822864758,0,0,0,0,1,0
306,2010,DET,82,44,102,223,207,0,0,13.621834599805009,0,0,0.16611993414396353,13.621834599805009,0,0,0,0,1,0
307,2010,EDM,82,27,62,206,278,0,0,11.106331315733051,0,0,0.13544306482601282,11.106331315733051,0,0,0,0,1,0
308,2010,FLA,82,32,77,202,234,0,0,17.189277091100177,0,0,0.20962533037927045,17.189277091100177,0,0,0,0,1,0
309,2010,LAK,82,46,101,231,211,0,0,11.21532425024442,0,0,0.13677224695420023,11.21532425024442,0,0,0,0,1,0
310,2010,MIN,82,38,84,214,239,0,0,10.933343046888098,0,0,0.13333345179131825,10.933343046888098,0,0,0,0,1,0
311,2010,MTL,82,39,88,210,218,0,0,15.738045794027869,0,0,0.19192738773204718,15.738045794027869,0,0,0,0,1,0
312,2010,NJD,82,48,103,216,186,0,0,12.816399014402727,0,0,0.15629754895613082,12.816399014402727,0,0,0,0,1,0
313,2010,NSH,82,47,100,217,221,0,0,12.31105899098443,0,0,0.15013486574371257,12.31105899098443,0,0,0,0,1,0
314,2010,NYI,82,34,79,214,258,0,0,11.476113854222726,0,0,0.13995260797832593,11.476113854222726,0,0,0,0,1,0
315,2010,NYR,82,38,87,219,214,0,0,14.048430467403767,0,0,0.17132232277321668,14.048430467403767,0,0,0,0,1,0
316,2010,OTT,82,44,94,220,233,0,0,10.30015650299834,0,0,0.12561166467071144,10.30015650299834,0,0,0,0,1,0
317,2010,PHI,82,41,88,232,222,0,0,11.33907791462926,0,0,0.13828143798328366,11.33907791462926,0,0,0,0,1,0
318,2010,PHX,82,50,107,211,196,0,0,15.28227097459009,0,0,0.18636915822670844,15.28227097459009,0,0,0,0,1,0
319,2010,PIT,82,47,101,249,235,0,0,10.500911388921528,0,0,0.12805989498684792,10.500911388921528,0,0,0,0,1,0
320,2010,SJS,82,51,113,257,209,0,0,15.753137123421745,0,0,0.19211142833441153,15.753137123421745,0,0,0,0,1,0
321,2010,STL,82,40,90,218,218,0,0,13.970623898628926,0,0,0.17037346217840155,13.970623898628926,0,0,0,0,1,0
322,2010,TBL,82,34,80,213,253,0,0,11.530511141622295,0,0,0.1406159895319792,11.530511141622295,0,0,0,0,1,0
323,2010,TOR,82,30,74,210,263,0,0,9.047871037663946,0,0,0.11033989070321885,9.047871037663946,0,0,0,0,1,0
324,2010,VAN,82,49,103,268,218,0,0,12.941763373260581,0,0,0.1578263826007388,12.941763373260581,0,0,0,0,1,0
325,2010,WSH,82,54,121,313,227,0,0,13.158348815910077,0,0,0.16046766848670826,13.158348815910077,0,0,0,0,1,0
326,2011,ANA,82,47,99,235,233,0,0,14.269530708473514,0,0,0.17401866717650627,14.269530708473514,0,0,0,0,1,0
327,2011,ATL,82,34,80,218,262,0,0,11.761249757409399,0,0,0.1434298750903585,11.761249757409399,0,0,0,0,1,0
328,2011,BOS,82,46,103,244,189,0,0,19.081191129104518,0,0,0.23269745279395754,19.081191129104518,0,0,0,0,1,0
329,2011,BUF,82,43,96,240,228,0,0,13.050688244854708,0,0,0.1591547346933501,13.050688244854708,0,0,0,0,1,0
330,2011,CAR,82,40,91,231,234,0,0,15.152744693853297,0,0,0.18478956943723532,15.152744693853297,0,0,0,0,1,0
331,2011,CBJ,82,34,81,210,250,0,0,9.585012065358493,0,0,0.11689039104095723,9.585012065358493,0,0,0,0,1,0
332,2011,CGY,82,41,94,241,230,0,0,10.535304438307856,0,0,0.1284793224183885,10.535304438307856,0,0,0,0,1,0
333,2011,CHI,82,44,97,252,220,0,0,11.609275018891385,0,0,0.14157652462062664,11.609275018891385,0,0,0,0,1,0
334,2011,COL,82,30,68,221,287,0,0,8.701852146353826,0,0,0.10612014812626616,8.701852146353826,0,0,0,0,1,0
335,2011,DAL,82,42,95,222,226,0,0,13.202595400403832,0,0,0.16100726098053453,13.202595400403832,0,0,0,0,1,0
336,2011,DET,82,47,104,257,237,0,0,11.77535409392154,0,0,0.14360187919416514,11.77535409392154,0,0,0,0,1,0
337,2011,EDM,82,25,62,191,260,0,0,10.945168225974308,0,0,0.13347766129236963,10.945168225974308,0,0,0,0,1,0
338,2011,FLA,82,30,72,191,222,0,0,14.919553439769112,0,0,0.18194577365572087,14.919553439769112,0,0,0,0,1,0
339,2011,LAK,82,46,98,209,196,0,0,12.693825541433245,0,0,0.15480275050528347,12.693825541433245,0,0,0,0,1,0
340,2011,MIN,82,39,86,203,228,0,0,14.619270281521564,0,0,0.17828378392099467,14.619270281521564,0,0,0,0,1,0
341,2011,MTL,82,44,96,213,206,0,0,15.467118672019208,0,0,0.18862339843925863,15.467118672019208,0,0,0,0,1,0
342,2011,NJD,82,38,81,171,207,0,0,9.733320485088022,0,0,0.11869903030595148,9.733320485088022,0,0,0,0,1,0
343,2011,NSH,82,44,99,213,190,0,0,16.357374688209724,0,0,0.19948017912450883,16.357374688209724,0,0,0,0,1,0
344,2011,NYI,82,30,73,225,258,0,0,11.475091210564669,0,0,0.13994013671420327,11.475091210564669,0,0,0,0,1,0
345,2011,NYR,82,44,93,224,195,0,0,14.78526149869217,0,0,0.18030806705722158,14.78526149869217,0,0,0,0,1,0
346,2011,OTT,82,32,74,190,245,0,0,11.679979175468112,0,0,0.14243877043253794,11.679979175468112,0,0,0,0,1,0
347,2011,PHI,82,47,106,256,216,0,0,13.319170752555264,0,0,0.16242891161652762,13.319170752555264,0,0,0,0,1,0
348,2011,PHX,82,43,99,226,220,0,0,15.498946355753757,0,0,0.1890115409238263,15.498946355753757,0,0,0,0,1,0
349,2011,PIT,82,49,106,228,196,0,0,13.686552573263056,0,0,0.16690917772272018,13.686552573263056,0,0,0,0,1,0
350,2011,SJS,82,48,105,243,208,0,0,12.520738227076793,0,0,0.15269192959849748,12.520738227076793,0,0,0,0,1,0
351,2011,STL,82,38,87,236,228,0,0,9.305882032730718,0,0,0.11348636625281364,9.305882032730718,0,0,0,0,1,0
352,2011,TBL,82,46,103,241,234,0,0,9.910006535264069,0,0,0.12085373823492766,9.910006535264069,0,0,0,0,1,0
353,2011,TOR,82,37,85,213,245,0,0,11.588121893271612,0,0,0.14131855967404405,11.588121893271612,0,0,0,0,1,0
354,2011,VAN,82,54,117,258,180,0,0,16.728307936658894,0,0,0.20400375532510845,16.728307936658894,0,0,0,0,1,0
355,2011,WSH,82,48,107,219,191,0,0,14.082230924854692,0,0,0.1717345234738377,14.082230924854692,0,0,0,0,1,0
356,2012,ANA,82,34,80,201,224,0,0,11.341953128062958,0,0,0.13831650156174338,11.341953128062958,0,0,0,0,1,0
357,2012,BOS,82,49,102,260,199,0,0,14.765474300189359,0,0,0.1800667597584068,14.765474300189359,0,0,0,0,1,0
358,2012,BUF,82,39,89,211,223,0,0,14.385276428631753,0,0,0.17543020034916773,14.385276428631753,0,0,0,0,1,0
359,2012,CAR,82,33,82,212,237,0,0,14.002601233665157,0,0,0.17076342967884336,14.002601233665157,0,0,0,0,1,0
360,2012,CBJ,82,29,65,198,257,0,0,10.591005275296013,0,0,0.12915860091824405,10.591005275296013,0,0,0,0,1,0
361,2012,CGY,82,37,90,199,217,0,0,14.48800482387385,0,0,0.17668298565699816,14.48800482387385,0,0,0,0,1,0
362,2012,CHI,82,45,101,241,231,0,0,9.624229935121123,0,0,0.11736865774537955,9.624229935121123,0,0,0,0,1,0
363,2012,COL,82,41,88,199,218,0,0,13.200552395884662,0,0,0.16098234629127636,13.200552395884662,0,0,0,0,1,0
364,2012,DAL,82,42,89,204,218,0,0,14.186790205086824,0,0,0.1730096366474003,14.186790205086824,0,0,0,0,1,0
365,2012,DET,82,48,102,239,200,0,0,11.543693933433637,0,0,0.14077675528577607,11.543693933433637,0,0,0,0,1,0
366,2012,EDM,82,32,74,207,232,0,0,12.947500035414434,0,0,0.15789634189529797,12.947500035414434,0,0,0,0,1,0
367,2012,FLA,82,38,94,197,216,0,0,13.98954264324639,0,0,0.1706041785761755,13.98954264324639,0,0,0,0,1,0
368,2012,LAK,82,40,95,188,170,0,0,14.673537742043019,0,0,0.17894558222003681,14.673537742043019,0,0,0,0,1,0
369,2012,MIN,82,35,81,166,217,0,0,15.016510740538333,0,0,0.1831281797626626,15.016510740538333,0,0,0,0,1,0
370,2012,MTL,82,31,78,207,214,0,0,13.420978411865873,0,0,0.1636704684373887,13.420978411865873,0,0,0,0,1,0
371,2012,NJD,82,48,102,216,205,0,0,11.026441257152666,0,0,0.13446879581893495,11.026441257152666,0,0,0,0,1,0
372,2012,NSH,82,48,104,232,205,0,0,15.420453754567452,0,0,0.18805431408009088,15.420453754567452,0,0,0,0,1,0
373,2012,NYI,82,34,79,196,251,0,0,10.424473422866363,0,0,0.127127724669102,10.424473422866363,0,0,0,0,1,0
374,2012,NYR,82,51,109,222,182,0,0,14.521975115110381,0,0,0.1770972575013461,14.521975115110381,0,0,0,0,1,0
375,2012,OTT,82,41,92,243,236,0,0,13.279325078569244,0,0,0.16194298876303956,13.279325078569244,0,0,0,0,1,0
376,2012,PHI,82,47,103,260,225,0,0,10.417041452639353,0,0,0.12703709088584578,10.417041452639353,0,0,0,0,1,0
377,2012,PHX,82,42,97,210,194,0,0,17.389885361232025,0,0,0.21207177269795152,17.389885361232025,0,0,0,0,1,0
378,2012,PIT,82,51,108,273,218,0,0,10.06327661704828,0,0,0.1227228855737595,10.06327661704828,0,0,0,0,1,0
379,2012,SJS,82,43,96,219,205,0,0,12.722791345988972,0,0,0.15515599202425576,12.722791345988972,0,0,0,0,1,0
380,2012,STL,82,49,109,206,155,0,0,15.870292273590374,0,0,0.1935401496779314,15.870292273590374,0,0,0,0,1,0
381,2012,TBL,82,38,84,232,278,0,0,7.7723906641526765,0,0,0.09478525200186191,7.7723906641526765,0,0,0,0,1,0
382,2012,TOR,82,35,80,227,259,0,0,9.887758277558117,0,0,0.12058241801900142,9.887758277558117,0,0,0,0,1,0
383,2012,VAN,82,51,111,241,191,0,0,16.649729345560836,0,0,0.20304547982391263,16.649729345560836,0,0,0,0,1,0
384,2012,WPG,82,37,84,221,242,0,0,10.840908338983501,0,0,0.13220619925589636,10.840908338983501,0,0,0,0,1,0
385,2012,WSH,82,42,92,218,226,0,0,12.596212523232357,0,0,0.15361234784429703,12.596212523232357,0,0,0,0,1,0
386,2013,ANA,48,30,66,134,115,0,0,13.568276931278966,0,0,0.28267243606831177,13.568276931278966,0,0,0,0,1,0
387,2013,BOS,48,28,62,127,106,0,0,16.173853560948032,0,0,0.33695528251975065,16.173853560948032,0,0,0,0,1,0
388,2013,BUF,48,21,48,118,139,0,0,15.927495228010528,0,0,0.33182281725021934,15.927495228010528,0,0,0,0,1,0
389,2013,CAR,48,19,42,127,159,0,0,11.436981872985768,0,0,0.2382704556872035,11.436981872985768,0,0,0,0,1,0
390,2013,CBJ,48,24,55,115,115,0,0,16.29027893578719,0,0,0.3393808111622331,16.29027893578719,0,0,0,0,1,0
391,2013,CGY,48,19,42,128,157,0,0,7.810505890981206,0,0,0.16271887272877514,7.810505890981206,0,0,0,0,1,0
392,2013,CHI,48,36,77,149,97,0,0,14.28585867739271,0,0,0.2976220557790148,14.28585867739271,0,0,0,0,1,0
393,2013,COL,48,16,39,114,150,0,0,11.948663426963506,0,0,0.2489304880617397,11.948663426963506,0,0,0,0,1,0
394,2013,DAL,48,22,48,128,141,0,0,12.782670547916418,0,0,0.2663056364149254,12.782670547916418,0,0,0,0,1,0
395,2013,DET,48,24,56,122,110,0,0,13.706768425071173,0,0,0.2855576755223161,13.706768425071173,0,0,0,0,1,0
396,2013,EDM,48,19,45,123,131,0,0,16.66958531237196,0,0,0.3472830273410825,16.66958531237196,0,0,0,0,1,0
397,2013,FLA,48,15,36,109,170,0,0,8.244966796785933,0,0,0.17177014159970694,8.244966796785933,0,0,0,0,1,0
398,2013,LAK,48,27,59,131,114,0,0,10.025753852751647,0,0,0.20886987193232598,10.025753852751647,0,0,0,0,1,0
399,2013,MIN,48,26,55,118,125,0,0,10.426510409384475,0,0,0.21721896686217657,10.426510409384475,0,0,0,0,1,0
400,2013,MTL,48,29,63,146,124,0,0,10.455924722546767,0,0,0.21783176505305765,10.455924722546767,0,0,0,0,1,0
401,2013,NJD,48,19,48,110,122,0,0,6.6836090525407545,0,0,0.13924185526126573,6.6836090525407545,0,0,0,0,1,0
402,2013,NSH,48,16,41,109,133,0,0,10.354811675031065,0,0,0.21572524322981387,10.354811675031065,0,0,0,0,1,0
403,2013,NYI,48,24,55,135,136,0,0,10.70655155516853,0,0,0.2230531573993444,10.70655155516853,0,0,0,0,1,0
404,2013,NYR,48,26,56,126,108,0,0,15.621119463589155,0,0,0.32543998882477404,15.621119463589155,0,0,0,0,1,0
405,2013,OTT,48,25,56,112,100,0,0,20.03073807333628,0,0,0.41730704319450584,20.03073807333628,0,0,0,0,1,0
406,2013,PHI,48,23,49,132,139,0,0,10.798468591760015,0,0,0.22496809566166698,10.798468591760015,0,0,0,0,1,0
