X1,year,team,games,wins,ot.wins,ot.losses,goals,goals.against,points,team.dps,team.ops,team.gps,dps.avg,ops.avg,gps.avg,team.ps,dps.prop,dps.prop.adj,ops.prop,ops.prop.adj,dps.full.prop,dps.full.prop.adj,champ
94,2004,PHI,18,11,2,0,50,43,20,6.510298309283108,22.59637023419289,2.5396484364457286,0.3616832394046171,1.255353901899605,0.14109157980254047,31.646316979921725,0.20572056816006812,-0.4825017025316788,0.7140284365011369,1.067687812113307,0.28597156349886316,-1.0676878121133073,0
95,2004,CGY,26,15,5,2,60,53,27,13.105766074673388,18.053669722692558,4.582612417230096,0.5040679259489764,0.6943719124112522,0.17625432373961908,35.74204821459604,0.3666764141771082,-0.3215458565146387,0.5051101048909656,0.858769480503136,0.4948898951090344,-0.8587694805031361,0
96,2004,TBL,23,16,3,2,60,43,31,12.471249252669393,26.458287077091036,4.202242306979511,0.5422282283769302,1.1503603076996103,0.18270618725997875,43.131778636739945,0.28914293930940044,-0.39907933138234647,0.6134290751124667,0.967088450724637,0.3865709248875332,-0.9670884507246372,1
97,2006,NYR,4,0,0,0,4,17,0,0.23352611802193649,-1.9438459894892692,-0.16029349849392477,0.05838152950548412,-0.4859614973723173,-0.04007337462348119,-1.8706133699612575,-0.12483932905214565,-0.39940738043921187,1.0391489875481477,0.4659075354527321,-0.039148987548147614,-0.465907535452732,0
98,2006,NSH,5,1,0,0,10,17,2,1.2399863410696785,-0.14785746616907483,0.8840072166639337,0.2479972682139357,-0.029571493233814965,0.17680144333278675,1.9761360915645374,0.6274802359831211,0.3529121845960549,-0.07482149979458844,-0.648062951890004,1.0748214997945884,0.6480629518900041,0
99,2006,TBL,5,1,0,0,13,23,2,0.0890440093607725,1.5128476946818619,0.11071091429300392,0.0178088018721545,0.3025695389363724,0.022142182858600784,1.7126026183356382,0.051993386210811884,-0.2225746651762543,0.8833617784329301,0.3101203263375145,0.11663822156707002,-0.3101203263375144,0
100,2006,DAL,5,1,0,3,15,18,5,1.1521744893068402,5.125069992336345,0.23369478093571938,0.23043489786136803,1.025013998467269,0.046738956187143875,6.510939262578905,0.17695979686508054,-0.09760825452198565,0.7871475659114606,0.21390611381604507,0.21285243408853938,-0.21390611381604502,0
101,2006,PHI,6,2,0,1,14,27,5,-0.03835912428378657,0.7515426178398429,0.36612874924175576,-0.006393187380631095,0.12525710297330714,0.06102145820695929,1.0793122427978121,-0.03554034019326176,-0.31010839158032794,0.6963162169750626,0.12307476487964708,0.30368378302493726,-0.12307476487964714,0
102,2006,DET,6,2,1,1,17,19,4,2.411223072176962,4.834692388789678,0.529839759861082,0.40187051202949364,0.8057820647982797,0.08830662664351367,7.7757552208277225,0.3100950330481583,0.03552698166109208,0.6217649927867752,0.04852354069135967,0.3782350072132248,-0.04852354069135961,0
103,2006,MTL,6,2,1,2,17,15,5,2.8249252063062427,4.502904982506223,1.7326213308132288,0.4708208677177071,0.7504841637510372,0.2887702218022048,9.060451519625694,0.31178636077763,0.03721830939056381,0.4969846119426339,-0.07625684015278167,0.5030153880573661,0.07625684015278172,0
104,2006,CGY,7,3,1,1,16,17,6,3.9209591716896717,2.4634989729961885,1.471973341039439,0.5601370245270959,0.3519284247137412,0.210281905862777,7.856431485725299,0.499076352770827,0.22450830138376082,0.3135646224971515,-0.25967682959826405,0.6864353775028486,0.25967682959826416,0
105,2006,COL,9,4,3,1,22,31,6,2.7620446463290684,3.8189544429809623,1.574942909731822,0.30689384959211874,0.42432827144232915,0.1749936566368691,8.155941999041852,0.3386542776608207,0.06408622627375449,0.468241981542979,-0.10499947055243652,0.5317580184570211,0.10499947055243669,0
106,2006,NJD,9,5,0,1,27,21,11,5.0270453457401665,8.417890643063394,2.0192123214383346,0.5585605939711296,0.9353211825625993,0.2243569246042594,15.464148310241896,0.3250774142156123,0.05050936282854612,0.5443488043559587,-0.028892647739456878,0.45565119564404133,0.028892647739456934,0
107,2006,OTT,10,5,0,3,36,29,13,3.9634827452543773,10.92487413881319,1.4658368648645839,0.39634827452543775,1.092487413881319,0.1465836864864584,16.35419374893215,0.24235268372757132,-0.03221536765949487,0.6680166755103125,0.09477522341489697,0.3319833244896875,-0.09477522341489691,0
108,2006,SJS,11,6,0,1,29,29,13,5.209355921479233,8.638030905181507,1.871087888657185,0.4735778110435666,0.7852755368346824,0.17009889896883498,15.718474715317925,0.33141612120943426,0.056848069822368064,0.5495463816704554,-0.023695070424960107,0.45045361832954456,0.023695070424960163,0
109,2006,MDA,16,9,2,1,46,36,17,9.898148785276733,13.394546712075245,2.9370077711911406,0.6186342990797958,0.8371591695047028,0.1835629856994463,26.22970326854312,0.3773641159390252,0.102796064551959,0.5106632955371294,-0.06257815655828614,0.48933670446287053,0.06257815655828614,0
110,2006,BUF,18,11,5,1,60,49,18,8.185982494078228,16.337215739044783,3.1066474847114502,0.4547768052265682,0.9076230966135991,0.1725915269284139,27.629845717834463,0.2962731886987829,0.021705137311716693,0.5912887066357908,0.018047254540375257,0.40871129336420914,-0.018047254540375257,0
111,2006,EDM,24,15,3,1,70,61,28,12.067115483303109,19.525160217388972,5.632475529209004,0.5027964784709629,0.8135483423912072,0.2346864803837085,37.22475122990109,0.32416913705551104,0.049601085668444844,0.5245209053729075,-0.04872054672250803,0.47547909462709237,0.048720546722507974,0
112,2006,CAR,25,16,4,3,73,60,31,13.377139865412312,21.660021309763987,4.21842077941012,0.5350855946164925,0.8664008523905595,0.16873683117640478,39.25558195458642,0.34077038727608,0.06620233588901381,0.5517692066015427,-0.021472245493872832,0.44823079339845723,0.021472245493872832,1
113,2007,ATL,4,0,0,0,6,17,0,-0.08256763245740777,-1.5331136702488264,0.2761930208492377,-0.02064190811435194,-0.3832784175622066,0.06904825521230942,-1.3394882818569966,0.06164117564577744,-0.25607752282686674,1.14455175981338,0.5983469740740185,-0.1445517598133802,-0.5983469740740186,0
114,2007,MIN,5,1,0,0,9,12,2,2.4068518784164983,0.7183619872727999,0.936207525404177,0.48137037568329966,0.14367239745455998,0.1872415050808354,4.061421391093475,0.5926131880071894,0.27489448953454526,0.1768745269447138,-0.36933025879464776,0.8231254730552863,0.36933025879464787,0
115,2007,PIT,5,1,0,0,10,18,2,0.4450240975541592,2.503140493581129,0.17287351349517405,0.08900481951083185,0.5006280987162258,0.03457470269903481,3.121038104630462,0.14258848582909278,-0.1751302126435514,0.8020217663691441,0.25581698062978253,0.1979782336308559,-0.25581698062978253,0
116,2007,NYI,5,1,0,0,11,17,2,0.701391706690972,3.2455689229529603,0.46871342053030735,0.1402783413381944,0.6491137845905921,0.09374268410606147,4.41567405017424,0.15884136798170043,-0.15887733049094374,0.7350109827116637,0.18880619697230205,0.2649890172883362,-0.18880619697230222,0
117,2007,NSH,5,1,0,1,14,16,3,1.017519670039438,3.3637410178965164,0.6070177447537627,0.2035039340078876,0.6727482035793033,0.12140354895075253,4.988278432689717,0.20398213206610918,-0.11373656640653498,0.6743290422308608,0.12812425649149917,0.32567095776913924,-0.12812425649149917,0
118,2007,CGY,6,2,0,1,10,18,5,1.3350044379537531,1.3445443370948036,1.811243574736628,0.22250073965895886,0.22409072284913392,0.30187392912277133,4.490792349785185,0.2972759223698269,-0.02044277610281725,0.29940024663111386,-0.24680453910824773,0.7005997533688861,0.24680453910824773,0
119,2007,TBL,6,2,0,1,14,19,5,1.6025706478274402,3.1046798934886994,0.4406840042750275,0.26709510797124003,0.5174466489147832,0.07344733404583792,5.147934545591167,0.311303617719834,-0.006415080752810165,0.6030923404314906,0.05688755469212903,0.3969076595685093,-0.05688755469212908,0
120,2007,DAL,7,3,1,2,12,13,7,4.825627445806543,0.4050397394204027,2.259506421022275,0.6893753494009347,0.05786281991720039,0.3227866315746107,7.49017360624922,0.644261094533298,0.3265423960606539,0.05407614839293831,-0.4921286373464233,0.9459238516070617,0.4921286373464233,0
121,2007,VAN,12,5,3,3,21,26,10,5.884398522833399,0.4632876301146629,3.713738612652045,0.4903665435694499,0.03860730250955524,0.30947821772100376,10.061424765600107,0.5848474405883437,0.26712874211569954,0.04604592698428138,-0.5001588587550803,0.9539540730157187,0.5001588587550803,0
122,2007,NJD,11,5,2,0,30,29,8,4.2869157038671615,10.153700769107727,1.7987599029636803,0.38971960944246925,0.9230637062825207,0.16352362754215274,16.23937637593857,0.26398277893349187,-0.0537359195391523,0.6252518898541068,0.07904710411474525,0.37474811014589315,-0.07904710411474525,0
123,2007,SJS,11,6,1,1,25,27,12,4.971597069689865,7.95177052759523,1.9020794103177436,0.45196336997180586,0.7228882297813846,0.17291631002888577,14.825447007602838,0.3353421362027271,0.017623437730082958,0.5363595798168768,-0.009845205922484834,0.46364042018312335,0.009845205922484945,0
124,2007,NYR,10,6,1,1,30,23,12,4.967593590247803,12.724790689025184,1.8881686090895222,0.49675935902478024,1.2724790689025185,0.18881686090895222,19.580552888362508,0.2537003739664695,-0.06401832450617467,0.6498688143064656,0.103664028567104,0.3501311856935344,-0.103664028567104,0
125,2007,BUF,16,9,1,3,44,39,20,6.9979360743684635,16.05381040131976,3.046560893684158,0.43737100464802897,1.003363150082485,0.19041005585525989,26.09830736937238,0.2681375452946377,-0.04958115317800649,0.6151284132763214,0.0689236275369598,0.38487158672367855,-0.06892362753695985,0
126,2007,DET,18,10,2,2,48,35,20,11.229499638141322,16.373520849660263,2.8278538348007536,0.6238610910078513,0.9096400472033479,0.1571029908222641,30.43087432260234,0.36901666114143433,0.051297962668790165,0.5380562081812725,-0.008148577558089065,0.4619437918187275,0.00814857755808912,0
127,2007,OTT,20,13,2,1,59,47,25,9.770225499980146,22.824329932692166,2.195660932702258,0.4885112749990073,1.1412164966346083,0.10978304663511289,34.79021636537457,0.280832559285377,-0.036886139187267186,0.656055992667191,0.10985120692782935,0.343944007332809,-0.1098512069278294,0
128,2007,ANA,21,16,4,1,58,45,29,11.17378186229495,20.67707905560227,3.606525777393253,0.5320848505854738,0.9846228121715367,0.17173932273301204,35.457386695290474,0.31513269599699734,-0.0025860024756468314,0.5831529332179646,0.03694814747860298,0.4168470667820354,-0.03694814747860298,1
129,2008,OTT,4,0,0,0,5,16,0,0.6876626478767759,-1.9916548181154503,0.8214612050960738,0.17191566196919397,-0.4979137045288626,0.20536530127401845,-0.4825309651426005,-1.425116101457973,-1.6797056118049878,4.127517117014167,3.411721899989944,-3.1275171170141673,-3.411721899989944,0
130,2008,NJD,5,1,1,0,12,19,1,1.3873723894431478,0.7386028873445802,0.4300557062861555,0.27747447788862956,0.14772057746891604,0.08601114125723111,2.556030983073884,0.542783870238808,0.2881943598917933,0.28896476303911467,-0.426830453985109,0.7110352369608851,0.42683045398510877,0
131,2008,MIN,6,2,2,1,12,17,3,2.2608935919047153,0.12423055657706009,0.8205751291882749,0.3768155986507859,0.02070509276284335,0.13676252153137916,3.2056992776700506,0.7052731388915451,0.45068362854453037,0.038753028845348425,-0.6770421881788753,0.9612469711546515,0.6770421881788752,0
132,2008,NSH,6,2,0,1,12,17,5,2.3713704096710853,2.0863461552984086,1.900791680459009,0.3952284016118475,0.34772435921640144,0.31679861340983484,6.358508245428503,0.37294445774698803,0.11835494739997332,0.328118809439054,-0.38767640758516964,0.671881190560946,0.38767640758516964,0
133,2008,ANA,6,2,0,0,13,20,4,1.6880411931188946,1.6721566586732748,0.6929696079165422,0.2813401988531491,0.2786927764455458,0.11549493465275702,4.053167459708712,0.41647457448999864,0.16188506414298393,0.41255553225857766,-0.303239684765646,0.5874444677414222,0.3032396847656459,0
134,2008,BOS,7,3,1,1,15,19,6,2.8124746581830276,2.7671427213314272,1.1912584543775582,0.4017820940261468,0.39530610304734676,0.17017977919679403,6.7708758338920125,0.4153782652614928,0.16078875491447808,0.4086831289211262,-0.3071120881030975,0.5913168710788738,0.3071120881030974,0
135,2008,CGY,7,3,0,0,17,19,6,2.724311149333909,4.845202494430337,1.308502888838974,0.38918730704770127,0.6921717849186196,0.18692898411985343,8.87801653260322,0.3068603374784529,0.05227082713143821,0.5457528127636435,-0.17004240426058015,0.4542471872363564,0.17004240426058004,0
136,2008,WSH,7,3,0,2,20,23,8,1.9426417414448893,5.553195648794602,1.1757168241620826,0.2775202487778413,0.7933136641135146,0.16795954630886895,8.671554214401574,0.22402463196488837,-0.030564878382126348,0.6403921963114693,-0.0754030207127544,0.3596078036885306,0.07540302071275429,0
137,2008,COL,10,4,1,2,26,33,9,2.345356143890268,7.478747203597541,1.5877085845510008,0.2345356143890268,0.7478747203597541,0.15877085845510008,11.411811932038809,0.20552004868794327,-0.049069461659071445,0.6553514243080769,-0.06044379271614675,0.34464857569192314,0.060443792716146805,0
138,2008,NYR,10,5,0,2,31,27,12,4.455895562523131,11.364566979307247,1.404139073771957,0.4455895562523131,1.1364566979307247,0.1404139073771957,17.224601615602335,0.25869367907394186,0.004104168726927149,0.6597869276124814,-0.056008289411742296,0.3402130723875187,0.05600828941174235,0
139,2008,MTL,12,5,2,1,33,35,9,4.974240489656417,10.959943591932566,1.294597498397462,0.4145200408047014,0.9133286326610471,0.10788312486645517,17.228781579986446,0.2887169047075661,0.0341273943605514,0.6361415368260295,-0.07965368019819419,0.3638584631739704,0.07965368019819408,0
140,2008,SJS,13,6,1,3,30,32,14,6.9458339207400845,6.2070301294936945,1.5394474541306096,0.5342949169800065,0.47746385611489955,0.1184190349331238,14.692311504364389,0.4727529714216042,0.2181634610745895,0.42246790967165926,-0.2933273073525644,0.5775320903283409,0.2933273073525645,0
