year,team,player,goals,shots,mins,gps
2004,TBL,John Grahame,2,17,34,0.010975727758408771
2004,TBL,Nikolai Khabibulin,40,598,1401,4.191266579221103
2004,TOR,Ed Belfour*,27,379,774,2.4496332844125996
2004,TOR,Trevor Kidd,1,11,33,0.043973833104523435
2004,VAN,Alex Auld,9,88,222,0.2264262333493075
2004,VAN,Dan Cloutier,5,64,138,0.35841865473376605
2004,VAN,Johan Hedberg,4,51,98,0.28365604624898716
2006,BUF,Ryan Miller,48,522,1123,3.1066474847114502
2006,CAR,Cam Ward,47,584,1320,4.177797522070445
2006,CAR,Martin Gerber,13,90,221,0.040623257339675145
2006,CGY,Miikka Kiprusoff,16,202,428,1.471973341039439
2006,COL,Jose Theodore,29,296,573,1.574942909731822
2006,DAL,Marty Turco,18,136,319,0.23369478093571938
2006,DET,Manny Legace,18,155,408,0.529839759861082
2006,EDM,Dwayne Roloson,45,618,1160,4.917305591352498
2006,EDM,Jussi Markkanen,13,137,360,0.7731924157339939
2006,EDM,Ty Conklin,1,3,6,-0.05802247787748852
2006,MDA,Ilya Bryzgalov,16,285,659,2.7656593016081295
2006,MDA,Jean-Sebastien Giguere,18,132,318,0.1713484695830111
2006,MTL,Cristobal Huet,15,212,386,1.7326213308132288
2006,NJD,Martin Brodeur*,20,261,533,1.9724525879238037
2006,NJD,Scott Clemmensen,0,3,7,0.046759733514530964
2006,NSH,Chris Mason,17,171,296,0.8840072166639337
2006,NYR,Henrik Lundqvist,13,79,177,-0.13082909888027147
2006,NYR,Kevin Weekes,4,25,60,-0.029464399613653287
2006,OTT,Ray Emery,29,289,604,1.4658368648645839
2006,PHI,Antero Niittymaki,5,29,73,-0.07190029965296489
2006,PHI,Robert Esche,22,176,314,0.43802904889472066
2006,SJS,Evgeni Nabokov,1,4,12,-0.04243590003931155
2006,SJS,Vesa Toskala,28,311,686,1.9135237886964964
2006,TBL,John Grahame,15,98,188,-0.0442485427389478
2006,TBL,Sean Burke,7,57,109,0.15495945703195171
2007,ANA,Ilya Bryzgalov,10,128,267,0.790947800566611
2007,ANA,Jean-Sebastien Giguere,35,451,1067,2.815577976826642
2007,ATL,Johan Hedberg,5,69,117,0.47424169168914454
2007,ATL,Kari Lehtonen,11,73,118,-0.19804867083990682
2007,BUF,Ryan Miller,38,489,1029,3.046560893684158
2007,CGY,Jamie McLennan,0,0,1,0
2007,CGY,Miikka Kiprusoff,18,255,384,1.811243574736628
2007,DAL,Marty Turco,11,229,509,2.259506421022275
2007,DET,Dominik Hasek*,34,444,1140,2.8278538348007536
2007,MIN,Niklas Backstrom,11,145,297,0.936207525404177
2007,NJD,Martin Brodeur*,28,332,688,1.7987599029636803
2007,NSH,Tomas Vokoun,16,163,324,0.6070177447537627
2007,NYI,Rick DiPietro,13,127,236,0.4075419444585819
2007,NYI,Wade Dubielewicz,4,35,59,0.06117147607172547
2007,NYR,Henrik Lundqvist,22,291,637,1.8881686090895222
2007,OTT,Ray Emery,47,505,1249,2.195660932702258
2007,PIT,Jocelyn Thibault,0,1,8,0.015753558281167826
2007,PIT,Marc-Andre Fleury,18,150,287,0.1571199552140062
2007,SJS,Evgeni Nabokov,26,323,701,1.9020794103177436
2007,TBL,Johan Holmqvist,18,168,370,0.4406840042750275
